39536	
	(4.551584789e-44,-9.374464636e-45)	(-1.429878982e-43,1.687253883e-43)	(-2.549804178e-44,8.763538321e-45)	(-8.434991463e-13,-3.967113561e-13)	(1.337402431e-13,7.504926045e-14)
	(-1.179484174e-12,-1.720299974e-13)	(-2.418239739e-44,-2.41962864e-44)	(-6.542971167e-44,7.62578989e-44)	(3.761661758e-44,-1.213420886e-45)	(1.260459365e-12,-1.521054107e-12)
	(-1.205012085e-13,-6.271952226e-13)	(3.88424003e-13,1.440645937e-13)	(-1.480407335e-12,-4.243586238e-13)	(-6.273968139e-13,-2.704337339e-13)	(3.915191859e-14,6.309887762e-13)
	(-4.27961488e-14,-7.196371276e-13)	(-7.831549575e-13,1.06133061e-14)	(2.60626222e-13,2.740763949e-13)	(-4.988794873e-13,-2.969845212e-13)	(-6.931459913e-13,-7.456750803e-13)
	(-3.124052013e-13,6.256671548e-13)	(2.767326708e-13,6.394842997e-13)	(4.344649585e-13,7.412246249e-13)	(-9.306793934e-13,-6.291910945e-14)	(7.771290219e-13,2.771744632e-13)
	(-2.618255748e-14,-1.947216015e-13)	(2.204083994e-44,-5.962591394e-45)	(1.426135554e-12,2.29638772e-13)	(4.216006299e-13,9.46452103e-13)	(1.166656809e-12,1.535349264e-12)
	(-1.293599463e-13,5.225921251e-13)	(-5.203857577e-13,-5.151063329e-13)	(-6.980919488e-13,1.379297167e-13)	(9.58946659e-13,1.029604714e-12)	(1.180494453e-13,-1.301527768e-13)
	(1.890552753e-12,6.379087046e-13)	(7.120491554e-13,6.806565997e-13)	(-9.451006244e-13,-5.838004636e-14)	(-7.233769973e-44,3.668889699e-44)	(-3.354068067e-13,1.440692492e-12)
	(-6.545078104e-13,3.145317614e-13)	(-1.445270386e-13,3.483798889e-13)	(3.028753939e-13,-1.374304102e-13)	(1.226672733e-12,9.812425461e-13)	(5.972567814e-13,6.918730487e-14)
	(1.58565949e-13,6.420945952e-13)	(1.382265442e-44,2.817104331e-44)	(-1.751964676e-44,8.835788956e-44)	(2.766570358e-45,-6.905400203e-45)	(8.213285476e-13,-1.706956108e-12)
	(3.569926965e-44,9.075273071e-45)	(-5.350218172e-44,1.558046953e-43)	(-1.131397706e-44,7.972978628e-45)	(-8.308122377e-13,-1.638109967e-13)	(3.220282133e-13,-5.272691211e-13)
	(-1.047693182e-12,-7.811662115e-14)	(-5.603953472e-13,-4.623477068e-13)	(1.692553305e-13,5.762643478e-13)	(-1.093112527e-12,1.126156062e-12)	(-1.600916731e-13,-1.023410104e-12)
	(-5.88530425e-13,-9.249242128e-14)	(7.581437308e-13,6.845473191e-13)	(-9.666899165e-13,9.508509515e-14)	(-4.640489851e-13,1.190921895e-12)	(8.961508777e-13,-3.296356447e-13)
	(-1.764881988e-12,8.607688309e-13)	(2.32021465e-13,4.791435526e-13)	(4.975908587e-13,-1.745056439e-14)	(-1.230278899e-12,3.315086723e-13)	(-9.05777868e-13,7.400721428e-13)
	(-4.122947434e-14,-6.468965951e-13)	(-1.381719429e-12,1.058953433e-12)	(-1.706527849e-13,7.968411984e-13)	(3.363224887e-13,-7.355662463e-13)	(2.433078924e-13,-7.812852842e-13)
	(-1.302984039e-12,5.932852361e-13)	(1.478513296e-12,6.88632877e-13)	(4.872111161e-14,3.40464149e-13)	(-6.37800848e-13,2.2623201e-13)	(1.341223055e-12,4.914049086e-13)
	(6.581601037e-13,8.210005453e-13)	(4.28252531e-13,1.049118167e-12)	(3.279776485e-13,7.798290773e-13)	(1.552481353e-12,-2.746466255e-13)	(6.408555338e-13,-1.162149234e-13)
	(-5.97190204e-45,2.133813065e-45)	(5.874571972e-13,7.63152667e-13)	(-1.395394937e-12,1.57791696e-12)	(-2.082990332e-44,2.741701793e-44)	(1.3711684e-12,1.724126971e-12)
	(-3.063121593e-12,9.420106886e-13)	(1.688629279e-13,-2.083638722e-13)	(-3.777409821e-44,1.951092282e-46)	(1.697097405e-44,3.873061123e-44)	(-1.41253849e-44,5.46352172e-45)
	(-5.634272397e-15,-5.504122871e-13)	(1.506977449e-13,4.918423619e-13)	(-1.833344219e-13,4.73416545e-13)	(1.142751828e-12,2.206056068e-13)	(-9.021569728e-45,4.944416629e-44)
	(1.938789074e-44,9.628838955e-46)	(-1.086674864e-44,4.64845233e-44)	(-1.728435451e-13,1.4833884e-12)	(3.050057584e-14,-6.982546609e-13)	(1.45599534e-13,1.557089014e-12)
	(7.762657142e-13,7.236868078e-13)	(-1.184405398e-12,9.638038256e-13)	(-1.01793716e-12,-3.276776863e-13)	(-1.909485544e-13,4.325418942e-13)	(2.175489763e-13,6.703760216e-13)
	(3.032042543e-14,3.202139118e-13)	(1.082227262e-12,-8.154719586e-13)	(5.716879978e-13,-1.000031108e-13)	(-6.379474524e-13,-9.437268616e-14)	(1.379769838e-12,4.049071755e-13)
	(1.489856277e-12,4.376770814e-13)	(7.560348047e-13,-2.140634749e-13)	(6.326628485e-16,3.032794373e-13)	(3.337572059e-13,4.851939564e-13)	(-3.006630602e-14,1.310978658e-12)
	(-5.972357016e-14,1.697314156e-14)	(3.471757415e-13,-8.570869343e-14)	(4.547571211e-14,1.388093903e-13)	(1.454705573e-12,1.255813102e-12)	(7.46389998e-14,4.744773133e-13)
	(-3.830802146e-13,4.47767982e-13)	(3.337802822e-13,1.83358395e-13)	(-2.994971188e-14,5.454418959e-13)	(-9.487523361e-14,6.763997978e-13)	(-9.879185191e-13,5.616414999e-13)
