39536	
	(7.528446123e-14,-1.153696101e-12)	(2.583468545e-13,-4.836658657e-13)	(1.130895044e-13,5.471101652e-13)	(3.244461061e-44,3.508431347e-44)	(8.291870746e-13,-2.593328969e-15)
	(2.536926497e-13,2.636461138e-13)	(2.218233935e-13,2.63090896e-14)	(-9.829137285e-14,-1.218691296e-13)	(3.475568184e-13,-8.548344831e-13)	(-5.931015589e-15,-3.172873661e-13)
	(3.396512868e-13,-1.935832277e-13)	(1.360685324e-44,-1.238808474e-44)	(5.293909253e-44,-4.688691217e-45)	(-4.468534903e-45,-6.26133184e-46)	(-1.100614124e-12,-1.848212333e-13)
	(-5.07572199e-46,-2.181497767e-44)	(9.709640071e-44,5.206256803e-45)	(6.475927883e-45,5.312290843e-45)	(3.324188377e-14,4.784640691e-13)	(-3.537296394e-13,-9.871834658e-14)
	(1.122281315e-13,5.794229891e-13)	(-1.806083171e-13,3.569234091e-13)	(2.935230127e-13,-1.858743344e-13)	(7.835214194e-13,3.981884387e-13)	(-5.554661496e-13,2.566996648e-13)
	(6.490388098e-14,3.448213651e-13)	(2.643981121e-13,-5.435005543e-13)	(2.360290364e-13,5.035852047e-13)	(7.319485394e-13,4.553455633e-14)	(-3.291707154e-13,-4.506063003e-13)
	(7.205490348e-13,8.428845756e-13)	(2.28515876e-13,-2.152805011e-13)	(-9.13200893e-14,-2.84636359e-13)	(3.583673849e-13,6.326326923e-13)	(5.767607345e-13,3.83639887e-13)
	(-3.572002239e-13,1.266717421e-13)	(8.13932327e-13,5.921403904e-13)	(5.042466648e-13,-2.032608131e-14)	(-4.537312054e-13,-7.014748297e-14)	(-4.398599133e-13,-3.459148059e-14)
	(5.811154775e-13,6.604830326e-13)	(1.660432579e-13,-9.343071631e-13)	(2.423447234e-13,-8.933430511e-14)	(2.321591629e-13,3.232173807e-13)	(1.042687083e-13,-8.305348313e-13)
	(3.626882956e-13,-4.674343727e-13)	(5.187322487e-13,-3.92233272e-13)	(4.389580076e-13,-3.069980916e-13)	(-3.848898755e-13,-8.023687137e-13)	(-1.580525283e-13,-3.217538756e-13)
	(2.069418211e-45,3.135983126e-45)	(3.782850391e-13,-3.884024199e-13)	(1.046629107e-12,5.743265765e-13)	(1.90822787e-44,7.15925348e-45)	(7.648148771e-13,-1.005963422e-12)
	(9.69596855e-13,1.587896883e-12)	(-1.479132655e-13,-6.198570404e-14)	(6.112972252e-45,2.13617749e-44)	(1.931012618e-44,-1.549288536e-44)	(5.402330492e-45,7.044429576e-45)
	(-3.129422369e-13,8.638796735e-14)	(2.434099647e-13,-1.627345761e-13)	(3.015249533e-13,2.698675229e-14)	(-9.545976215e-14,-6.868255954e-13)	(2.9649154e-44,-2.743380348e-45)
	(-2.532457075e-45,-1.118656751e-44)	(2.821350809e-44,-1.296680452e-45)	(8.459420985e-13,-1.386675975e-13)	(-3.9476904e-13,8.900414147e-14)	(7.976589062e-13,-3.226647555e-13)
	(2.860146385e-13,-5.588099515e-13)	(7.318030643e-13,5.104820605e-13)	(-2.855789698e-14,6.210892385e-13)	(2.47580091e-13,2.794168498e-14)	(3.291266021e-13,-2.184373707e-13)
	(1.811713548e-13,-7.509605885e-14)	(-6.857662181e-13,-4.555125213e-13)	(-1.518192767e-13,-3.140164623e-13)	(5.137092569e-14,3.805550851e-13)	(-1.148195056e-14,-8.410989312e-13)
	(6.867892272e-14,-9.227206663e-13)	(-2.055301139e-13,-3.771628353e-13)	(1.97608317e-13,-5.232030905e-14)	(2.120877521e-13,-2.599297461e-13)	(7.426780379e-13,-1.919846131e-13)
	(-1.565359632e-14,3.972268162e-14)	(-9.400202572e-14,-1.758255934e-13)	(7.396288935e-14,-4.519678823e-14)	(4.764643465e-13,-1.046566529e-12)	(3.103978405e-13,-1.310949533e-13)
	(3.310747343e-13,1.395595806e-13)	(8.310185723e-14,-2.53483208e-13)	(3.33418965e-13,-6.905070121e-14)	(4.024324499e-13,-6.427049393e-14)	(4.971149943e-13,4.327950141e-13)
	(2.449292407e-13,2.149139006e-13)	(1.306029834e-44,-2.43741951e-44)	(-6.037816928e-13,-1.322123057e-12)	(1.092879979e-12,-4.008425068e-13)	(1.610133805e-13,2.660449247e-13)
	(-6.454317066e-45,5.292080549e-45)	(-1.053086404e-13,3.753944806e-14)	(2.142769434e-13,-6.247976321e-14)	(3.746677303e-13,-4.575953624e-13)	(-8.978244591e-14,-4.18876604e-14)
	(1.398832948e-13,-6.750412465e-14)	(-9.882977637e-45,-1.578243326e-47)	(-1.039832563e-44,1.895831908e-45)	(-1.379227095e-44,-1.308539271e-45)	(2.555318013e-13,-1.066426803e-14)
	(-1.542579567e-13,-1.279483877e-13)	(-1.085437844e-13,-2.494653311e-13)	(-1.962864663e-14,-4.083001315e-13)	(1.233385174e-44,2.158541205e-45)	(4.996708435e-44,1.464513017e-44)
	(5.25249032e-45,-5.653069349e-45)	(3.029858596e-13,-3.737983051e-13)	(2.720632684e-13,-1.268361594e-13)	(-7.116190702e-13,-8.345526762e-13)	(-6.102311522e-13,1.286657463e-13)
	(2.735458823e-13,-1.76185604e-13)	(3.052155463e-13,-7.160579416e-14)	(3.475081638e-13,8.953602059e-14)	(1.320215855e-13,3.000910827e-13)	(-1.995693384e-13,-4.107227592e-14)
	(-6.191719494e-13,1.209474845e-13)	(4.574577229e-15,1.056267107e-13)	(-4.883825251e-13,-5.88150556e-14)	(-3.211915474e-13,-1.240447111e-13)	(1.09286751e-13,-5.266445474e-13)
