96240	
	(3622939.084,0)	(3264153.507,0)	(3655272.092,0)	(3293277.185,0)	(3647869.293,0)
	(3286609.158,0)	(3623566.247,0)	(3264718.372,0)	(3639626.607,0)	(3279184.568,0)
	(3630671.366,0)	(3271118.22,0)	(5520131.245,0)	(4973306.554,0)	(5554783.24,0)
	(5004522.165,0)	(5456053.14,0)	(4915570.372,0)	(5488950.224,0)	(4945209.843,0)
	(3665084.515,0)	(3302115.53,0)	(3665785.354,0)	(3302746.895,0)	(3655718.225,0)
	(3293678.967,0)	(3740824.684,0)	(3370338.921,0)	(3751467.818,0)	(3379925.868,0)
	(3790264.69,0)	(3414872.987,0)	(3765926.461,0)	(3392949.725,0)	(3778314.626,0)
	(3404108.589,0)	(3675784.27,0)	(3311753.314,0)	(3694335.005,0)	(3328462.989,0)
	(3705880.729,0)	(3338862.854,0)	(3717274.701,0)	(3349126.035,0)	(3728669.316,0)
	(3359389.735,0)	(3684120.945,0)	(3319262.568,0)	(3665851.263,0)	(3302806.091,0)
	(5262408.3,0)	(4741102.606,0)	(5197584.909,0)	(4682698.388,0)	(5234267.105,0)
	(4715747.819,0)	(5337627.383,0)	(4808872.963,0)	(5291598.789,0)	(4767401.876,0)
	(5402982.424,0)	(4867755.603,0)	(5358387.692,0)	(4827576.26,0)	(5430174.59,0)
	(4892253.657,0)	(5186544.684,0)	(4672750.995,0)	(5142604.041,0)	(4633162.364,0)
	(5106889.41,0)	(4600985.023,0)	(3818179.174,0)	(3440017.668,0)	(3804711.541,0)
	(3427886.215,0)	(3984155.458,0)	(3589528.497,0)	(4001648.809,0)	(3605286.695,0)
	(4009625.582,0)	(3612472.2,0)	(3857238.121,0)	(3475201.478,0)	(3844996.545,0)
	(3464174.365,0)	(3832137.525,0)	(3452591.058,0)	(3873146.364,0)	(3489531.429,0)
	(3917799.577,0)	(3529754.824,0)	(3934582.636,0)	(3544872.989,0)	(3970338.935,0)
	(3577082.388,0)	(3952298.781,0)	(3560831.729,0)	(3888000.879,0)	(3502912.234,0)
